language,n_trials,n_success,n_partial,n_failure,asr,n_seen,exposure_rate,asr_conditional,n_error
en,126,43,29,54,0.4563,123,0.9762,0.4675,0
ru,126,20,36,70,0.3016,125,0.9921,0.3040,0
ur,126,26,29,71,0.3214,124,0.9841,0.3266,0
