language,n_trials,n_success,n_partial,n_failure,asr,n_seen,exposure_rate,asr_conditional,n_error
en,42,1,11,30,0.1548,23,0.5476,0.2826,0
ru,42,0,11,31,0.1310,25,0.5952,0.2200,0
ur,42,0,13,29,0.1548,24,0.5714,0.2708,0
