language,n_trials,n_success,n_partial,n_failure,asr,n_seen,exposure_rate,asr_conditional,n_error
en,126,26,17,83,0.2738,89,0.7063,0.3876,0
ru,126,15,24,87,0.2143,91,0.7222,0.2967,0
ur,126,13,16,97,0.1667,91,0.7222,0.2253,0
