comparison,unit,n_pairs,n_concordant,b_en_success_only,c_other_success_only,p_exact_two_sided,note
en_vs_ur,instance,14,13,0,1,1.0000,"auxiliary only (SPEC §11.3); binarised on success_label == 'success'; exact binomial, not chi-square; one pair per (instance, model), arms compared on success rate across repeats"
en_vs_ur,trial,42,41,0,1,1.0000,"auxiliary only (SPEC §11.3); binarised on success_label == 'success'; exact binomial, not chi-square; PSEUDO-REPLICATED -- repeats counted as independent pairs, p is inflated"
en_vs_ru,instance,14,14,0,0,,"auxiliary only (SPEC §11.3); binarised on success_label == 'success'; exact binomial, not chi-square; one pair per (instance, model), arms compared on success rate across repeats"
en_vs_ru,trial,42,42,0,0,,"auxiliary only (SPEC §11.3); binarised on success_label == 'success'; exact binomial, not chi-square; PSEUDO-REPLICATED -- repeats counted as independent pairs, p is inflated"
